'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:16:28.228 09/02/1989]',0.144,149.180,-0.001,0.247
'[23:16:28.232 09/02/1989]',0.124,147.115,-0.003,0.254
'[23:16:28.236 09/02/1989]',0.126,145.508,-0.003,0.247
'[23:16:28.240 09/02/1989]',0.132,143.213,-0.002,0.240
'[23:16:28.244 09/02/1989]',0.146,140.689,-0.000,0.247
'[23:16:28.248 09/02/1989]',0.150,138.853,-0.000,0.249
'[23:16:28.252 09/02/1989]',0.176,136.787,-0.001,0.242
'[23:16:28.256 09/02/1989]',0.126,134.721,0.002,0.247
'[23:16:28.260 09/02/1989]',0.160,132.426,0.005,0.252
'[23:16:28.264 09/02/1989]',0.116,130.361,0.004,0.252
'[23:16:28.268 09/02/1989]',0.120,127.836,0.003,0.252
'[23:16:28.272 09/02/1989]',0.112,126.000,0.005,0.252
'[23:16:28.276 09/02/1989]',0.100,123.935,0.005,0.252
'[23:16:28.280 09/02/1989]',0.120,121.410,0.009,0.259
'[23:16:28.284 09/02/1989]',0.104,120.492,0.010,0.252
'[23:16:28.288 09/02/1989]',0.114,118.426,0.011,0.249
'[23:16:28.292 09/02/1989]',0.076,116.820,0.008,0.259
'[23:16:28.296 09/02/1989]',0.096,115.672,0.010,0.257
'[23:16:28.300 09/02/1989]',0.064,114.525,0.008,0.247
'[23:16:28.304 09/02/1989]',0.088,112.459,0.006,0.249
'[23:16:28.308 09/02/1989]',0.080,111.082,0.006,0.257
'[23:16:28.312 09/02/1989]',0.076,110.164,0.003,0.257
'[23:16:28.316 09/02/1989]',0.080,108.328,0.004,0.249
'[23:16:28.320 09/02/1989]',0.078,107.639,0.000,0.257
'[23:16:28.324 09/02/1989]',0.064,105.803,-0.000,0.245
'[23:16:28.328 09/02/1989]',0.072,104.885,-0.002,0.252
'[23:16:28.332 09/02/1989]',0.062,104.426,-0.002,0.240
'[23:16:28.336 09/02/1989]',0.064,103.279,-0.002,0.238
'[23:16:28.340 09/02/1989]',0.064,101.672,-0.000,0.242
'[23:16:28.344 09/02/1989]',0.066,99.836,0.002,0.245
'[23:16:28.348 09/02/1989]',0.054,98.459,0.003,0.235
'[23:16:28.352 09/02/1989]',0.064,97.312,0.004,0.238
'[23:16:28.356 09/02/1989]',0.080,95.246,0.005,0.240
'[23:16:28.360 09/02/1989]',0.088,93.869,0.008,0.238
'[23:16:28.364 09/02/1989]',0.080,92.721,0.009,0.240
'[23:16:28.368 09/02/1989]',0.070,91.115,0.009,0.242
'[23:16:28.372 09/02/1989]',0.084,89.967,0.012,0.247
'[23:16:28.376 09/02/1989]',0.088,88.820,0.015,0.242
'[23:16:28.380 09/02/1989]',0.096,87.443,0.017,0.245
'[23:16:28.384 09/02/1989]',0.100,87.443,0.016,0.240
'[23:16:28.388 09/02/1989]',0.104,87.672,0.018,0.240
'[23:16:28.392 09/02/1989]',0.104,87.213,0.016,0.238
'[23:16:28.396 09/02/1989]',0.108,86.295,0.018,0.242
'[23:16:28.400 09/02/1989]',0.090,86.525,0.020,0.230
'[23:16:28.404 09/02/1989]',0.102,87.213,0.022,0.242
'[23:16:28.408 09/02/1989]',0.080,87.213,0.025,0.238
'[23:16:28.412 09/02/1989]',0.084,87.902,0.027,0.247
'[23:16:28.416 09/02/1989]',0.096,88.361,0.026,0.240
'[23:16:28.420 09/02/1989]',0.094,89.279,0.027,0.235
'[23:16:28.424 09/02/1989]',0.090,89.738,0.028,0.238
'[23:16:28.428 09/02/1989]',0.096,90.426,0.027,0.238
'[23:16:28.432 09/02/1989]',0.088,91.344,0.027,0.238
'[23:16:28.436 09/02/1989]',0.072,92.033,0.027,0.240
'[23:16:28.440 09/02/1989]',0.072,93.180,0.028,0.235
'[23:16:28.444 09/02/1989]',0.076,94.557,0.030,0.228
'[23:16:28.448 09/02/1989]',0.064,95.475,0.035,0.233
'[23:16:28.452 09/02/1989]',0.066,96.394,0.035,0.230
'[23:16:28.456 09/02/1989]',0.072,96.853,0.038,0.235
'[23:16:28.460 09/02/1989]',0.076,98.230,0.039,0.230
'[23:16:28.464 09/02/1989]',0.084,98.230,0.038,0.238
'[23:16:28.468 09/02/1989]',0.068,98.459,0.037,0.235
'[23:16:28.472 09/02/1989]',0.078,99.377,0.038,0.238
'[23:16:28.476 09/02/1989]',0.066,100.295,0.035,0.235
'[23:16:28.480 09/02/1989]',0.064,99.836,0.035,0.228
'[23:16:28.484 09/02/1989]',0.058,100.754,0.033,0.223
'[23:16:28.488 09/02/1989]',0.058,100.984,0.031,0.223
'[23:16:28.492 09/02/1989]',0.062,100.984,0.030,0.223
'[23:16:28.496 09/02/1989]',0.062,100.984,0.027,0.228
'[23:16:28.500 09/02/1989]',0.060,100.066,0.028,0.238
'[23:16:28.504 09/02/1989]',0.064,100.066,0.027,0.230
'[23:16:28.508 09/02/1989]',0.054,100.066,0.025,0.226
'[23:16:28.512 09/02/1989]',0.064,100.295,0.025,0.221
'[23:16:28.516 09/02/1989]',0.064,99.148,0.025,0.233
'[23:16:28.520 09/02/1989]',0.064,99.377,0.024,0.230
'[23:16:28.524 09/02/1989]',0.054,98.230,0.024,0.230
'[23:16:28.528 09/02/1989]',0.040,98.000,0.023,0.226
'[23:16:28.532 09/02/1989]',0.044,97.541,0.025,0.228
'[23:16:28.536 09/02/1989]',0.046,97.771,0.022,0.228
'[23:16:28.540 09/02/1989]',0.044,97.771,0.021,0.219
'[23:16:28.544 09/02/1989]',0.070,97.082,0.020,0.226
'[23:16:28.548 09/02/1989]',0.064,97.082,0.018,0.223
'[23:16:28.552 09/02/1989]',0.058,96.164,0.016,0.228
'[23:16:28.556 09/02/1989]',0.054,95.705,0.014,0.228
'[23:16:28.560 09/02/1989]',0.060,95.475,0.013,0.228
'[23:16:28.564 09/02/1989]',0.050,95.016,0.013,0.228
'[23:16:28.568 09/02/1989]',0.058,95.246,0.010,0.221
'[23:16:28.572 09/02/1989]',0.056,95.016,0.011,0.219
'[23:16:28.576 09/02/1989]',0.064,94.557,0.013,0.211
'[23:16:28.580 09/02/1989]',0.070,93.869,0.012,0.197
'[23:16:28.584 09/02/1989]',0.072,93.180,0.009,0.190
'[23:16:28.588 09/02/1989]',0.074,92.951,0.011,0.183
'[23:16:28.592 09/02/1989]',0.072,92.951,0.008,0.166
'[23:16:28.596 09/02/1989]',0.076,92.721,0.005,0.154
'[23:16:28.600 09/02/1989]',0.088,92.721,0.007,0.138
'[23:16:28.604 09/02/1989]',0.108,92.492,0.007,0.124
'[23:16:28.608 09/02/1989]',0.120,92.033,0.004,0.107
'[23:16:28.612 09/02/1989]',0.136,91.803,0.004,0.097
'[23:16:28.616 09/02/1989]',0.144,91.574,0.005,0.093
'[23:16:28.620 09/02/1989]',0.140,91.803,0.005,0.074
'[23:16:28.624 09/02/1989]',0.140,90.885,0.004,0.055
'[23:16:28.628 09/02/1989]',0.160,90.885,0.006,0.038
'[23:16:28.632 09/02/1989]',0.192,90.885,0.007,0.031
'[23:16:28.636 09/02/1989]',0.208,90.656,0.006,0.007
'[23:16:28.640 09/02/1989]',0.204,89.738,0.009,0.005
'[23:16:28.644 09/02/1989]',0.210,89.049,0.012,-0.010
'[23:16:28.648 09/02/1989]',0.188,89.279,0.015,-0.029
'[23:16:28.652 09/02/1989]',0.182,89.279,0.016,-0.048
'[23:16:28.656 09/02/1989]',0.176,89.279,0.017,-0.057
'[23:16:28.660 09/02/1989]',0.170,89.049,0.016,-0.071
'[23:16:28.664 09/02/1989]',0.152,88.590,0.016,-0.083
'[23:16:28.668 09/02/1989]',0.116,89.049,0.014,-0.102
'[23:16:28.672 09/02/1989]',0.086,88.820,0.013,-0.107
'[23:16:28.676 09/02/1989]',0.056,89.049,0.011,-0.121
'[23:16:28.680 09/02/1989]',0.026,89.049,0.013,-0.124
'[23:16:28.684 09/02/1989]',0.016,88.590,0.012,-0.143
'[23:16:28.688 09/02/1989]',0.012,89.279,0.012,-0.145
'[23:16:28.692 09/02/1989]',0.008,88.361,0.011,-0.154
'[23:16:28.696 09/02/1989]',0.004,87.213,0.010,-0.152
'[23:16:28.700 09/02/1989]',-0.000,87.443,0.007,-0.162
'[23:16:28.704 09/02/1989]',0.016,87.213,0.005,-0.162
'[23:16:28.708 09/02/1989]',-0.000,86.754,0.004,-0.173
'[23:16:28.712 09/02/1989]',0.002,86.984,0.002,-0.178
'[23:16:28.716 09/02/1989]',-0.000,86.984,0.002,-0.181
'[23:16:28.720 09/02/1989]',0.002,87.213,0.002,-0.181
'[23:16:28.724 09/02/1989]',-0.008,86.295,0.004,-0.190
'[23:16:28.728 09/02/1989]',-0.000,86.984,0.003,-0.181
'[23:16:28.732 09/02/1989]',-0.006,86.295,0.004,-0.200
'[23:16:28.736 09/02/1989]',0.002,87.213,0.002,-0.197
'[23:16:28.740 09/02/1989]',-0.002,86.525,0.001,-0.204
'[23:16:28.744 09/02/1989]',0.014,86.754,-0.001,-0.209
'[23:16:28.748 09/02/1989]',0.014,86.984,-0.002,-0.221
'[23:16:28.752 09/02/1989]',0.002,86.984,-0.004,-0.228
'[23:16:28.756 09/02/1989]',-0.008,86.295,-0.002,-0.221
'[23:16:28.760 09/02/1989]',-0.004,86.066,-0.000,-0.235
'[23:16:28.764 09/02/1989]',-0.076,86.754,0.002,-0.228
'[23:16:28.768 09/02/1989]',-0.120,85.607,0.002,-0.230
'[23:16:28.772 09/02/1989]',-0.124,85.607,0.002,-0.238
'[23:16:28.776 09/02/1989]',-0.078,85.607,0.004,-0.226
'[23:16:28.780 09/02/1989]',0.178,85.836,0.002,-0.235
'[23:16:28.784 09/02/1989]',0.550,85.607,0.001,-0.235
'[23:16:28.788 09/02/1989]',1.020,85.607,0.003,-0.240
'[23:16:28.792 09/02/1989]',1.330,85.607,0.005,-0.242
'[23:16:28.796 09/02/1989]',1.538,85.607,0.006,-0.238
'[23:16:28.800 09/02/1989]',1.432,85.148,0.011,-0.245
'[23:16:28.804 09/02/1989]',0.984,85.607,0.011,-0.249
'[23:16:28.808 09/02/1989]',0.688,85.148,0.014,-0.254
'[23:16:28.812 09/02/1989]',0.200,84.918,0.014,-0.264
'[23:16:28.816 09/02/1989]',-0.202,84.918,0.014,-0.257
'[23:16:28.820 09/02/1989]',-0.444,84.918,0.011,-0.261
'[23:16:28.824 09/02/1989]',-0.670,84.918,0.011,-0.268
'[23:16:28.828 09/02/1989]',-0.772,84.689,0.009,-0.259
'[23:16:28.832 09/02/1989]',-0.756,84.459,0.007,-0.259
'[23:16:28.836 09/02/1989]',-0.626,84.918,0.007,-0.264
'[23:16:28.840 09/02/1989]',-0.476,84.230,0.007,-0.257
'[23:16:28.844 09/02/1989]',-0.348,83.771,0.005,-0.257
'[23:16:28.848 09/02/1989]',-0.208,83.771,0.005,-0.264
'[23:16:28.852 09/02/1989]',-0.108,84.459,0.004,-0.266
'[23:16:28.856 09/02/1989]',-0.066,84.230,0.004,-0.257
'[23:16:28.860 09/02/1989]',-0.052,84.000,0.008,-0.257
'[23:16:28.864 09/02/1989]',-0.056,84.000,0.008,-0.252
'[23:16:28.868 09/02/1989]',-0.046,83.541,0.007,-0.259
'[23:16:28.872 09/02/1989]',-0.024,83.541,0.008,-0.264
'[23:16:28.876 09/02/1989]',-0.008,83.771,0.007,-0.268
'[23:16:28.880 09/02/1989]',-0.010,83.541,0.010,-0.261
'[23:16:28.884 09/02/1989]',-0.006,83.771,0.009,-0.271
'[23:16:28.888 09/02/1989]',-0.000,83.082,0.010,-0.276
'[23:16:28.892 09/02/1989]',0.012,83.312,0.008,-0.266
'[23:16:28.896 09/02/1989]',0.006,82.853,0.009,-0.268
'[23:16:28.900 09/02/1989]',0.002,82.623,0.009,-0.276
'[23:16:28.904 09/02/1989]',0.012,82.623,0.008,-0.273
'[23:16:28.908 09/02/1989]',0.006,82.393,0.007,-0.264
'[23:16:28.912 09/02/1989]',0.018,82.164,0.005,-0.271
'[23:16:28.916 09/02/1989]',0.016,81.705,0.004,-0.276
'[23:16:28.920 09/02/1989]',0.032,81.246,0.004,-0.276
'[23:16:28.924 09/02/1989]',0.018,81.475,0.004,-0.276
'[23:16:28.928 09/02/1989]',0.032,81.705,0.004,-0.273
'[23:16:28.932 09/02/1989]',0.032,81.475,0.006,-0.280
'[23:16:28.936 09/02/1989]',0.030,81.246,0.007,-0.278
'[23:16:28.940 09/02/1989]',0.028,80.787,0.010,-0.285
'[23:16:28.944 09/02/1989]',0.040,80.787,0.013,-0.285
'[23:16:28.948 09/02/1989]',0.026,80.557,0.015,-0.280
'[23:16:28.952 09/02/1989]',0.034,79.869,0.016,-0.276
'[23:16:28.956 09/02/1989]',0.036,79.869,0.016,-0.278
'[23:16:28.960 09/02/1989]',0.054,79.869,0.018,-0.276
'[23:16:28.964 09/02/1989]',0.066,79.869,0.020,-0.268
'[23:16:28.968 09/02/1989]',0.064,80.098,0.020,-0.276
'[23:16:28.972 09/02/1989]',0.072,80.557,0.018,-0.268
'[23:16:28.976 09/02/1989]',0.072,82.393,0.016,-0.285
'[23:16:28.980 09/02/1989]',0.076,84.000,0.014,-0.273
'[23:16:28.984 09/02/1989]',0.080,85.377,0.010,-0.278
'[23:16:28.988 09/02/1989]',0.082,88.131,0.010,-0.283
'[23:16:28.992 09/02/1989]',0.082,91.803,0.007,-0.280
'[23:16:28.996 09/02/1989]',0.086,94.557,0.005,-0.280
'[23:16:29.000 09/02/1989]',0.088,98.689,0.004,-0.276
'[23:16:29.004 09/02/1989]',0.096,103.508,0.002,-0.287
'[23:16:29.008 09/02/1989]',0.094,108.098,0.001,-0.285
'[23:16:29.012 09/02/1989]',0.094,112.918,-0.002,-0.290
'[23:16:29.016 09/02/1989]',0.096,118.197,-0.003,-0.295
'[23:16:29.020 09/02/1989]',0.112,123.246,-0.005,-0.285
'[23:16:29.024 09/02/1989]',0.108,127.607,-0.005,-0.299
'[23:16:29.028 09/02/1989]',0.120,132.197,-0.004,-0.290
'[23:16:29.032 09/02/1989]',0.120,137.475,-0.004,-0.295
'[23:16:29.036 09/02/1989]',0.124,141.607,-0.002,-0.295
'[23:16:29.040 09/02/1989]',0.120,145.967,-0.002,-0.295
'[23:16:29.044 09/02/1989]',0.128,149.410,-0.000,-0.295
'[23:16:29.048 09/02/1989]',0.126,152.853,-0.000,-0.292
'[23:16:29.052 09/02/1989]',0.120,155.836,-0.001,-0.295
'[23:16:29.056 09/02/1989]',0.120,157.902,-0.001,-0.297
'[23:16:29.060 09/02/1989]',0.130,159.967,-0.003,-0.290
'[23:16:29.064 09/02/1989]',0.118,161.115,-0.002,-0.287
'[23:16:29.068 09/02/1989]',0.114,161.344,-0.003,-0.292
'[23:16:29.072 09/02/1989]',0.114,161.803,-0.002,-0.287
'[23:16:29.076 09/02/1989]',0.120,161.803,-0.003,-0.295
'[23:16:29.080 09/02/1989]',0.114,161.115,-0.003,-0.292
'[23:16:29.084 09/02/1989]',0.112,159.738,-0.000,-0.295
'[23:16:29.088 09/02/1989]',0.122,158.590,-0.000,-0.290
'[23:16:29.092 09/02/1989]',0.118,156.984,0.001,-0.283
'[23:16:29.096 09/02/1989]',0.128,155.148,0.001,-0.297
'[23:16:29.100 09/02/1989]',0.128,154.230,0.002,-0.290
'[23:16:29.104 09/02/1989]',0.136,151.705,0.001,-0.290
'[23:16:29.108 09/02/1989]',0.128,150.098,0.002,-0.292
'[23:16:29.112 09/02/1989]',0.126,147.803,0.001,-0.295
'[23:16:29.116 09/02/1989]',0.120,146.426,0.003,-0.302
'[23:16:29.120 09/02/1989]',0.136,145.049,0.004,-0.287
'[23:16:29.124 09/02/1989]',0.118,142.754,0.004,-0.287
'[23:16:29.128 09/02/1989]',0.130,140.918,0.005,-0.280
'[23:16:29.132 09/02/1989]',0.132,139.082,0.007,-0.290
'[23:16:29.136 09/02/1989]',0.128,138.164,0.007,-0.285
'[23:16:29.140 09/02/1989]',0.122,135.639,0.007,-0.287
'[23:16:29.144 09/02/1989]',0.126,134.262,0.009,-0.283
'[23:16:29.148 09/02/1989]',0.116,133.344,0.009,-0.287
'[23:16:29.152 09/02/1989]',0.106,132.197,0.011,-0.285
'[23:16:29.156 09/02/1989]',0.104,130.590,0.012,-0.280
'[23:16:29.160 09/02/1989]',0.106,130.131,0.012,-0.278
'[23:16:29.164 09/02/1989]',0.098,128.754,0.013,-0.278
'[23:16:29.168 09/02/1989]',0.096,127.607,0.011,-0.276
'[23:16:29.172 09/02/1989]',0.094,126.918,0.013,-0.276
'[23:16:29.176 09/02/1989]',0.096,125.771,0.014,-0.278
'[23:16:29.180 09/02/1989]',0.088,125.312,0.016,-0.276
'[23:16:29.184 09/02/1989]',0.086,124.853,0.016,-0.273
'[23:16:29.188 09/02/1989]',0.092,123.935,0.018,-0.271
'[23:16:29.192 09/02/1989]',0.088,123.246,0.016,-0.266
'[23:16:29.196 09/02/1989]',0.082,121.869,0.015,-0.264
'[23:16:29.200 09/02/1989]',0.080,121.869,0.017,-0.268
'[23:16:29.204 09/02/1989]',0.090,120.951,0.017,-0.271
'[23:16:29.208 09/02/1989]',0.080,120.033,0.019,-0.266
'[23:16:29.212 09/02/1989]',0.088,118.426,0.020,-0.268
'[23:16:29.216 09/02/1989]',0.082,117.279,0.019,-0.261
'[23:16:29.220 09/02/1989]',0.090,116.820,0.020,-0.266
'[23:16:29.224 09/02/1989]',0.076,115.213,0.020,-0.257
'[23:16:29.228 09/02/1989]',0.088,113.148,0.019,-0.266
'[23:16:29.232 09/02/1989]',0.092,112.230,0.018,-0.271
'[23:16:29.236 09/02/1989]',0.100,110.853,0.014,-0.268
'[23:16:29.240 09/02/1989]',0.090,108.557,0.012,-0.266
'[23:16:29.244 09/02/1989]',0.104,107.410,0.010,-0.266
'[23:16:29.248 09/02/1989]',0.100,105.344,0.011,-0.266
'[23:16:29.252 09/02/1989]',0.098,104.197,0.011,-0.268
'[23:16:29.256 09/02/1989]',0.110,102.131,0.010,-0.259
'[23:16:29.260 09/02/1989]',0.112,101.443,0.011,-0.261
'[23:16:29.264 09/02/1989]',0.110,99.377,0.011,-0.257
'[23:16:29.268 09/02/1989]',0.110,98.918,0.009,-0.264
'[23:16:29.272 09/02/1989]',0.108,98.230,0.010,-0.261
'[23:16:29.276 09/02/1989]',0.114,97.312,0.010,-0.259
'[23:16:29.280 09/02/1989]',0.112,96.164,0.011,-0.254
'[23:16:29.284 09/02/1989]',0.104,95.934,0.012,-0.247
'[23:16:29.288 09/02/1989]',0.108,95.934,0.013,-0.247
'[23:16:29.292 09/02/1989]',0.102,95.934,0.011,-0.245
'[23:16:29.296 09/02/1989]',0.104,95.705,0.009,-0.247
'[23:16:29.300 09/02/1989]',0.098,96.394,0.008,-0.249
'[23:16:29.304 09/02/1989]',0.102,97.082,0.005,-0.247
'[23:16:29.308 09/02/1989]',0.088,97.312,0.003,-0.257
'[23:16:29.312 09/02/1989]',0.098,97.771,0.002,-0.238
'[23:16:29.316 09/02/1989]',0.092,98.230,0.002,-0.247
'[23:16:29.320 09/02/1989]',0.092,99.148,-0.000,-0.240
'[23:16:29.324 09/02/1989]',0.088,100.066,-0.002,-0.247
'[23:16:29.328 09/02/1989]',0.096,100.754,-0.004,-0.245
'[23:16:29.332 09/02/1989]',0.096,101.902,-0.004,-0.242
'[23:16:29.336 09/02/1989]',0.102,102.820,-0.006,-0.242
'[23:16:29.340 09/02/1989]',0.090,102.590,-0.004,-0.247
'[23:16:29.344 09/02/1989]',0.096,103.508,0.002,-0.240
'[23:16:29.348 09/02/1989]',0.088,104.197,0.002,-0.240
'[23:16:29.352 09/02/1989]',0.082,104.656,0.004,-0.247
'[23:16:29.356 09/02/1989]',0.080,105.115,0.010,-0.240
'[23:16:29.360 09/02/1989]',0.088,106.033,0.013,-0.240
'[23:16:29.364 09/02/1989]',0.080,105.574,0.016,-0.235
'[23:16:29.368 09/02/1989]',0.076,105.574,0.016,-0.240
'[23:16:29.372 09/02/1989]',0.080,105.803,0.017,-0.235
'[23:16:29.376 09/02/1989]',0.082,106.033,0.016,-0.238
'[23:16:29.380 09/02/1989]',0.080,104.656,0.020,-0.223
'[23:16:29.384 09/02/1989]',0.078,106.033,0.021,-0.228
'[23:16:29.388 09/02/1989]',0.086,105.574,0.024,-0.230
'[23:16:29.392 09/02/1989]',0.076,105.574,0.024,-0.226
'[23:16:29.396 09/02/1989]',0.080,104.656,0.026,-0.228
'[23:16:29.400 09/02/1989]',0.072,104.656,0.028,-0.228
'[23:16:29.404 09/02/1989]',0.078,104.426,0.029,-0.216
'[23:16:29.408 09/02/1989]',0.066,103.738,0.027,-0.230
'[23:16:29.412 09/02/1989]',0.080,103.508,0.025,-0.219
'[23:16:29.416 09/02/1989]',0.066,103.279,0.022,-0.223
'[23:16:29.420 09/02/1989]',0.080,103.279,0.018,-0.219
'[23:16:29.424 09/02/1989]',0.068,102.590,0.013,-0.223
'[23:16:29.428 09/02/1989]',0.072,102.820,0.010,-0.221
'[23:16:29.432 09/02/1989]',0.070,101.672,0.007,-0.226
'[23:16:29.436 09/02/1989]',0.072,101.443,0.001,-0.223
'[23:16:29.440 09/02/1989]',0.062,101.213,-0.000,-0.221
'[23:16:29.444 09/02/1989]',0.072,100.984,-0.004,-0.223
'[23:16:29.448 09/02/1989]',0.070,100.754,-0.005,-0.223
'[23:16:29.452 09/02/1989]',0.080,100.066,-0.008,-0.223
'[23:16:29.456 09/02/1989]',0.088,98.918,-0.008,-0.216
'[23:16:29.460 09/02/1989]',0.092,98.459,-0.010,-0.211
'[23:16:29.464 09/02/1989]',0.094,98.230,-0.011,-0.219
'[23:16:29.468 09/02/1989]',0.082,98.230,-0.013,-0.219
'[23:16:29.472 09/02/1989]',0.112,96.853,-0.015,-0.211
'[23:16:29.476 09/02/1989]',0.128,96.853,-0.017,-0.211
'[23:16:29.480 09/02/1989]',0.142,96.623,-0.015,-0.204
'[23:16:29.484 09/02/1989]',0.166,96.164,-0.014,-0.211
'[23:16:29.488 09/02/1989]',0.168,95.246,-0.010,-0.200
'[23:16:29.492 09/02/1989]',0.158,94.557,-0.009,-0.209
'[23:16:29.496 09/02/1989]',0.156,94.098,-0.006,-0.204
'[23:16:29.500 09/02/1989]',0.154,93.869,-0.007,-0.200
'[23:16:29.504 09/02/1989]',0.192,93.639,-0.006,-0.200
'[23:16:29.508 09/02/1989]',0.204,93.180,-0.005,-0.197
'[23:16:29.512 09/02/1989]',0.216,92.951,-0.002,-0.204
'[23:16:29.516 09/02/1989]',0.234,92.721,-0.000,-0.195
'[23:16:29.520 09/02/1989]',0.230,92.262,0.002,-0.200
'[23:16:29.524 09/02/1989]',0.208,91.803,0.004,-0.190
'[23:16:29.528 09/02/1989]',0.200,90.885,0.008,-0.190
'[23:16:29.532 09/02/1989]',0.180,91.344,0.009,-0.192
'[23:16:29.536 09/02/1989]',0.168,91.574,0.009,-0.200
'[23:16:29.540 09/02/1989]',0.136,91.115,0.011,-0.192
'[23:16:29.544 09/02/1989]',0.124,91.803,0.012,-0.202
'[23:16:29.548 09/02/1989]',0.072,90.885,0.015,-0.200
'[23:16:29.552 09/02/1989]',0.042,90.885,0.015,-0.200
'[23:16:29.556 09/02/1989]',0.032,90.197,0.016,-0.195
'[23:16:29.560 09/02/1989]',0.024,90.426,0.016,-0.190
'[23:16:29.564 09/02/1989]',0.022,89.967,0.015,-0.192
'[23:16:29.568 09/02/1989]',0.018,89.738,0.012,-0.190
'[23:16:29.572 09/02/1989]',0.022,89.049,0.009,-0.188
'[23:16:29.576 09/02/1989]',0.016,89.508,0.005,-0.190
'[23:16:29.580 09/02/1989]',0.016,89.508,-0.000,-0.183
'[23:16:29.584 09/02/1989]',0.014,88.590,-0.003,-0.178
'[23:16:29.588 09/02/1989]',0.018,88.820,-0.006,-0.181
'[23:16:29.592 09/02/1989]',0.010,88.590,-0.011,-0.181
'[23:16:29.596 09/02/1989]',0.010,88.131,-0.012,-0.181
'[23:16:29.600 09/02/1989]',0.008,88.131,-0.014,-0.178
'[23:16:29.604 09/02/1989]',0.008,89.049,-0.014,-0.185
'[23:16:29.608 09/02/1989]',-0.000,87.672,-0.014,-0.178
'[23:16:29.612 09/02/1989]',0.006,87.443,-0.016,-0.178
'[23:16:29.616 09/02/1989]',0.008,87.902,-0.015,-0.176
'[23:16:29.620 09/02/1989]',0.014,88.131,-0.016,-0.181
'[23:16:29.624 09/02/1989]',-0.006,87.902,-0.014,-0.176
'[23:16:29.628 09/02/1989]',-0.018,88.131,-0.013,-0.181
'[23:16:29.632 09/02/1989]',-0.032,88.131,-0.011,-0.173
'[23:16:29.636 09/02/1989]',-0.074,88.131,-0.007,-0.181
'[23:16:29.640 09/02/1989]',-0.120,87.213,-0.006,-0.171
'[23:16:29.644 09/02/1989]',-0.114,87.672,-0.005,-0.178
'[23:16:29.648 09/02/1989]',-0.044,87.213,-0.002,-0.171
'[23:16:29.652 09/02/1989]',0.224,87.213,-0.001,-0.171
'[23:16:29.656 09/02/1989]',0.590,87.443,-0.000,-0.173
'[23:16:29.660 09/02/1989]',1.032,87.443,0.000,-0.171
'[23:16:29.664 09/02/1989]',1.284,87.213,0.002,-0.164
'[23:16:29.668 09/02/1989]',1.528,86.984,-0.001,-0.164
'[23:16:29.672 09/02/1989]',1.418,86.984,0.002,-0.166
'[23:16:29.676 09/02/1989]',1.056,86.754,-0.000,-0.162
'[23:16:29.680 09/02/1989]',0.770,86.754,-0.002,-0.157
'[23:16:29.684 09/02/1989]',0.284,86.295,-0.002,-0.164
'[23:16:29.688 09/02/1989]',-0.100,86.066,-0.001,-0.159
'[23:16:29.692 09/02/1989]',-0.396,86.295,-0.004,-0.164
'[23:16:29.696 09/02/1989]',-0.664,86.525,-0.009,-0.159
'[23:16:29.700 09/02/1989]',-0.792,86.525,-0.011,-0.162
'[23:16:29.704 09/02/1989]',-0.686,86.295,-0.011,-0.157
'[23:16:29.708 09/02/1989]',-0.470,86.066,-0.012,-0.154
'[23:16:29.712 09/02/1989]',-0.256,85.607,-0.010,-0.147
'[23:16:29.716 09/02/1989]',-0.144,86.295,-0.007,-0.152
'[23:16:29.720 09/02/1989]',-0.102,85.607,-0.007,-0.152
'[23:16:29.724 09/02/1989]',-0.112,85.377,-0.006,-0.154
'[23:16:29.728 09/02/1989]',-0.102,85.377,-0.006,-0.152
'[23:16:29.732 09/02/1989]',-0.096,85.377,-0.004,-0.157
'[23:16:29.736 09/02/1989]',-0.074,84.918,-0.006,-0.147
'[23:16:29.740 09/02/1989]',-0.074,84.459,-0.002,-0.147
'[23:16:29.744 09/02/1989]',-0.064,84.459,0.000,-0.143
'[23:16:29.748 09/02/1989]',-0.056,84.459,0.002,-0.143
'[23:16:29.752 09/02/1989]',-0.058,84.918,-0.000,-0.145
'[23:16:29.756 09/02/1989]',-0.052,84.459,-0.000,-0.152
'[23:16:29.760 09/02/1989]',-0.032,84.459,-0.001,-0.152
'[23:16:29.764 09/02/1989]',-0.038,84.000,-0.000,-0.143
'[23:16:29.768 09/02/1989]',-0.032,83.771,-0.000,-0.145
'[23:16:29.772 09/02/1989]',-0.024,83.541,0.000,-0.147
'[23:16:29.776 09/02/1989]',-0.024,83.541,-0.001,-0.140
'[23:16:29.780 09/02/1989]',-0.026,83.771,-0.002,-0.147
'[23:16:29.784 09/02/1989]',-0.028,83.541,-0.003,-0.150
'[23:16:29.788 09/02/1989]',-0.010,82.393,-0.003,-0.135
'[23:16:29.792 09/02/1989]',-0.016,81.705,-0.003,-0.140
'[23:16:29.796 09/02/1989]',-0.006,82.623,-0.001,-0.138
'[23:16:29.800 09/02/1989]',-0.008,81.705,-0.002,-0.138
'[23:16:29.804 09/02/1989]',-0.000,81.705,-0.002,-0.133
'[23:16:29.808 09/02/1989]',-0.012,81.934,-0.004,-0.143
